idmeteo,idtelescope,date,tempext,tempint,pression,humidext,humidint,pluie,vent,dirvent,skytemperature,dwn,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
123730,3,2015-03-01 00:03:05,20.5,20.5,1004.0,57.4,57.4,0,2.4,8,-2.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123731,3,2015-03-01 00:08:05,20.6,20.6,1004.0,56.7,56.7,0,1.3,351,-5.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123732,3,2015-03-01 00:13:05,20.7,20.7,1004.0,56.5,56.5,0,1.3,278,-8.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123733,3,2015-03-01 00:18:05,20.6,20.6,1003.8,56.7,56.7,0,3.7,296,-13.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123734,3,2015-03-01 00:23:06,20.7,20.7,1003.9,56.4,56.4,0,2.3,336,-10.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123735,3,2015-03-01 00:28:06,21.3,21.3,1004.0,55.0,55.0,0,1.8,328,-10.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123736,3,2015-03-01 00:33:06,21.8,21.8,1004.0,52.6,52.6,0,4.6,319,-11.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123737,3,2015-03-01 00:38:07,22.0,22.0,1004.1,52.2,52.2,0,4.1,314,-9.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123738,3,2015-03-01 00:43:07,22.6,22.6,1004.0,50.7,50.7,0,1.9,279,-8.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123739,3,2015-03-01 00:48:09,22.7,22.7,1003.7,50.9,50.9,0,1.8,269,-3.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123740,3,2015-03-01 00:53:09,23.1,23.1,1003.6,50.7,50.7,0,1.7,301,-11.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123741,3,2015-03-01 00:58:09,22.9,22.9,1003.5,50.4,50.4,0,1.9,276,-7.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123742,3,2015-03-01 01:03:09,23.2,23.2,1003.5,49.5,49.5,0,2.2,267,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123743,3,2015-03-01 01:08:11,23.6,23.6,1003.6,48.3,48.3,0,2.0,299,-5.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123744,3,2015-03-01 01:13:11,23.1,23.1,1003.5,49.6,49.6,0,2.4,296,-6.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123745,3,2015-03-01 01:18:12,22.9,22.9,1003.5,49.9,49.9,0,3.9,322,-6.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123746,3,2015-03-01 01:23:13,22.9,22.9,1004.0,50.2,50.2,0,1.0,334,-2.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123747,3,2015-03-01 01:28:13,22.7,22.7,1005.1,51.3,51.3,1,3.2,52,-12.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123748,3,2015-03-01 01:33:15,22.0,22.0,1005.8,59.2,59.2,1,4.6,65,-35.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123749,3,2015-03-01 01:38:15,20.1,20.1,1005.7,69.0,69.0,1,2.3,23,-36.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123750,3,2015-03-01 01:43:15,18.1,18.1,1004.8,79.9,79.9,1,3.8,346,-51.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123751,3,2015-03-01 01:48:15,17.1,17.1,1004.3,85.7,85.7,1,1.8,350,-24.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123752,3,2015-03-01 01:53:15,16.9,16.9,1004.4,87.9,87.9,1,1.9,9,-23.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123753,3,2015-03-01 01:58:16,17.0,17.0,1004.3,89.0,89.0,1,2.4,308,-37.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123754,3,2015-03-01 02:03:17,17.1,17.1,1004.1,89.1,89.1,1,1.5,332,-3.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123755,3,2015-03-01 02:07:27,17.1,17.1,1004.1,89.1,89.1,1,1.3,282,-6.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123756,3,2015-03-01 02:12:28,17.2,17.2,1004.1,89.6,89.6,1,1.4,284,5.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123757,3,2015-03-01 02:17:30,17.4,17.4,1004.9,89.7,89.7,1,1.7,243,-17.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123758,3,2015-03-01 02:22:31,17.4,17.4,1005.3,89.4,89.4,1,1.5,165,-7.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123759,3,2015-03-01 02:27:32,17.4,17.4,1004.9,89.7,89.7,1,0.6,132,-13.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123760,3,2015-03-01 02:32:34,17.5,17.5,1004.6,89.8,89.8,1,0.8,240,-9.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123761,3,2015-03-01 02:37:35,17.6,17.6,1004.7,90.4,90.4,1,1.3,318,-23.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123762,3,2015-03-01 02:42:36,17.8,17.8,1004.3,91.0,91.0,1,2.2,279,-22.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123763,3,2015-03-01 02:47:38,18.0,18.0,1004.0,91.3,91.3,1,3.7,278,-25.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123764,3,2015-03-01 02:52:32,18.3,18.3,1003.8,91.5,91.5,1,2.9,295,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123765,3,2015-03-01 02:57:32,18.5,18.5,1003.7,91.3,91.3,1,1.7,319,-10.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123766,3,2015-03-01 03:02:33,18.7,18.7,1003.6,91.4,91.4,0,1.2,308,3.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123767,3,2015-03-01 03:07:34,18.8,18.8,1003.4,91.1,91.1,0,0.9,280,1.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123768,3,2015-03-01 03:12:35,18.8,18.8,1003.5,91.0,91.0,0,1.7,47,-0.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123769,3,2015-03-01 03:17:35,18.9,18.9,1003.5,91.0,91.0,0,1.7,15,-0.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123770,3,2015-03-01 03:22:36,18.9,18.9,1003.5,91.0,91.0,0,0.4,282,0.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123771,3,2015-03-01 03:27:36,19.0,19.0,1003.5,91.0,91.0,1,0.7,2,-1.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123772,3,2015-03-01 03:32:37,19.1,19.1,1003.3,91.2,91.2,1,2.9,244,-17.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123773,3,2015-03-01 03:37:37,19.6,19.6,1003.1,91.7,91.7,0,3.0,249,-13.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123774,3,2015-03-01 03:42:38,19.7,19.7,1003.3,91.1,91.1,1,1.7,239,7.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123775,3,2015-03-01 03:47:38,19.7,19.7,1003.4,90.9,90.9,1,1.7,307,-3.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123776,3,2015-03-01 03:52:39,19.8,19.8,1003.5,91.0,91.0,1,1.4,262,-29.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123777,3,2015-03-01 03:57:39,19.7,19.7,1003.4,90.8,90.8,1,3.0,231,-6.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123778,3,2015-03-01 04:02:40,19.7,19.7,1003.4,90.4,90.4,1,0.6,281,7.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123779,3,2015-03-01 04:07:24,19.9,19.9,1003.2,90.7,90.7,1,0.9,347,5.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123780,3,2015-03-01 04:12:27,20.3,20.3,1003.1,90.6,90.6,0,2.6,346,2.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123781,3,2015-03-01 04:17:28,20.5,20.5,1002.8,89.9,89.9,0,1.6,5,-0.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123782,3,2015-03-01 04:22:29,21.1,21.1,1002.7,89.6,89.6,0,2.3,356,-6.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123783,3,2015-03-01 04:27:30,21.3,21.3,1002.6,87.8,87.8,0,2.5,335,-11.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123784,3,2015-03-01 04:32:30,21.6,21.6,1002.7,86.8,86.8,0,2.6,26,-6.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123785,3,2015-03-01 04:37:31,21.7,21.7,1002.7,84.4,84.4,0,2.4,345,-0.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123786,3,2015-03-01 04:42:33,22.6,22.6,1002.5,86.5,86.5,0,2.8,354,-8.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123787,3,2015-03-01 04:47:33,23.2,23.2,1002.4,83.0,83.0,0,2.3,335,-7.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123788,3,2015-03-01 04:52:35,23.2,23.2,1002.4,82.9,82.9,0,1.0,360,-4.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123789,3,2015-03-01 04:57:35,23.3,23.3,1002.4,79.9,79.9,0,2.2,333,-8.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123790,3,2015-03-01 05:02:36,23.6,23.6,1002.3,81.9,81.9,0,1.8,314,-1.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123791,3,2015-03-01 05:07:38,23.6,23.6,1002.2,79.8,79.8,0,1.0,41,-9.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123792,3,2015-03-01 05:12:38,24.0,24.0,1002.2,79.0,79.0,0,1.2,340,-5.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123793,3,2015-03-01 05:17:40,24.1,24.1,1002.0,76.9,76.9,0,0.3,290,-5.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123794,3,2015-03-01 05:22:41,24.4,24.4,1001.9,77.1,77.1,0,2.7,31,-11.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123795,3,2015-03-01 05:27:42,24.7,24.7,1002.0,75.5,75.5,0,1.8,340,-6.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123796,3,2015-03-01 05:32:43,24.6,24.6,1002.0,76.4,76.4,0,2.6,344,-7.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123797,3,2015-03-01 05:37:44,25.0,25.0,1001.9,73.8,73.8,0,1.6,32,-7.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123798,3,2015-03-01 05:42:46,25.4,25.4,1001.9,71.6,71.6,0,1.8,297,-9.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123799,3,2015-03-01 05:47:46,25.3,25.3,1001.8,69.9,69.9,0,3.2,31,-10.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123800,3,2015-03-01 05:52:47,25.7,25.7,1001.7,70.2,70.2,0,2.0,23,-9.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123801,3,2015-03-01 05:57:48,26.3,26.3,1001.7,68.4,68.4,0,2.4,40,-8.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123802,3,2015-03-01 06:02:48,26.3,26.3,1001.7,66.3,66.3,0,1.5,281,-7.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123803,3,2015-03-01 06:07:49,26.8,26.8,1001.6,63.6,63.6,0,1.8,359,-5.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123804,3,2015-03-01 06:12:49,27.3,27.3,1001.5,63.5,63.5,0,1.4,346,-7.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123805,3,2015-03-01 06:17:50,27.1,27.1,1001.4,60.4,60.4,0,1.4,287,-8.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123806,3,2015-03-01 06:22:51,26.9,26.9,1001.3,60.7,60.7,0,1.4,333,-5.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123807,3,2015-03-01 06:27:52,27.4,27.4,1001.2,58.3,58.3,0,3.5,44,-8.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123808,3,2015-03-01 06:32:53,27.5,27.5,1001.2,58.9,58.9,0,2.3,4,-4.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123809,3,2015-03-01 06:37:54,27.3,27.3,1001.2,59.1,59.1,0,0.6,24,-3.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123810,3,2015-03-01 06:42:54,27.6,27.6,1001.1,57.2,57.2,0,3.4,44,-6.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123811,3,2015-03-01 06:47:55,27.6,27.6,1001.1,54.0,54.0,0,2.8,23,-7.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123812,3,2015-03-01 06:52:56,27.6,27.6,1001.2,53.7,53.7,0,1.6,32,-4.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123813,3,2015-03-01 06:57:56,27.4,27.4,1001.2,53.2,53.2,0,1.9,51,-8.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123814,3,2015-03-01 07:02:57,27.3,27.3,1001.2,54.6,54.6,0,2.7,37,-6.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123815,3,2015-03-01 07:07:57,27.3,27.3,1001.2,53.8,53.8,0,1.9,45,-7.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123816,3,2015-03-01 07:12:58,27.4,27.4,1001.2,54.8,54.8,0,2.4,52,-7.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123817,3,2015-03-01 07:17:58,27.4,27.4,1001.3,54.0,54.0,0,3.0,39,-6.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123818,3,2015-03-01 07:23:00,27.1,27.1,1001.2,51.9,51.9,0,2.8,31,-6.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123819,3,2015-03-01 07:28:01,26.8,26.8,1001.2,51.2,51.2,0,3.7,7,-7.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123820,3,2015-03-01 07:33:03,26.4,26.4,1001.2,48.0,48.0,0,4.4,34,-8.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123821,3,2015-03-01 07:38:04,26.2,26.2,1001.3,48.7,48.7,0,2.6,11,-6.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123822,3,2015-03-01 07:43:06,26.1,26.1,1001.3,49.4,49.4,0,3.3,33,-6.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123823,3,2015-03-01 07:48:06,25.9,25.9,1001.3,48.4,48.4,0,2.8,20,-7.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123824,3,2015-03-01 07:53:07,25.9,25.9,1001.3,48.2,48.2,0,3.6,6,-9.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123825,3,2015-03-01 07:58:09,26.0,26.0,1001.2,48.8,48.8,0,3.9,63,-8.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123826,3,2015-03-01 08:03:09,25.9,25.9,1001.2,47.4,47.4,0,2.3,27,-13.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123827,3,2015-03-01 08:08:10,25.7,25.7,1001.2,50.7,50.7,0,1.4,50,-11.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123828,3,2015-03-01 08:13:12,25.5,25.5,1001.3,51.3,51.3,0,1.8,50,-10.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123829,3,2015-03-01 08:18:12,25.2,25.2,1001.3,50.7,50.7,0,5.0,15,-9.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123830,3,2015-03-01 08:23:13,25.0,25.0,1001.3,51.7,51.7,0,4.0,27,-9.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123831,3,2015-03-01 08:28:14,24.7,24.7,1001.3,52.9,52.9,0,3.9,27,-7.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123832,3,2015-03-01 08:33:14,24.4,24.4,1001.3,55.4,55.4,0,2.5,43,-7.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123833,3,2015-03-01 08:38:15,24.1,24.1,1001.3,57.4,57.4,0,1.1,18,-8.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123834,3,2015-03-01 08:43:15,23.9,23.9,1001.3,56.8,56.8,0,3.9,352,-8.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123835,3,2015-03-01 08:48:15,23.7,23.7,1001.3,58.6,58.6,0,1.5,36,-5.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123836,3,2015-03-01 08:53:16,23.6,23.6,1001.3,59.7,59.7,0,3.3,39,-7.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123837,3,2015-03-01 08:58:16,23.5,23.5,1001.3,60.1,60.1,0,4.1,26,-7.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123838,3,2015-03-01 09:03:18,23.5,23.5,1001.3,59.8,59.8,0,4.2,43,-9.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123839,3,2015-03-01 09:08:18,23.5,23.5,1001.3,60.5,60.5,0,4.5,32,-9.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123840,3,2015-03-01 09:13:20,23.5,23.5,1001.4,59.7,59.7,0,3.7,12,-7.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123841,3,2015-03-01 09:18:22,23.3,23.3,1001.4,58.9,58.9,0,1.7,64,-8.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123842,3,2015-03-01 09:23:23,23.2,23.2,1001.5,61.1,61.1,0,2.4,58,-6.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123843,3,2015-03-01 09:28:24,23.2,23.2,1001.6,60.9,60.9,0,4.8,38,-5.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123844,3,2015-03-01 09:33:24,23.1,23.1,1001.6,61.6,61.6,0,3.6,19,-8.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123845,3,2015-03-01 09:38:26,23.1,23.1,1001.6,61.1,61.1,0,4.2,39,-6.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123846,3,2015-03-01 09:43:26,23.3,23.3,1001.6,60.5,60.5,0,2.2,11,-6.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123847,3,2015-03-01 09:48:28,23.3,23.3,1001.5,60.4,60.4,0,1.9,23,-8.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123848,3,2015-03-01 09:53:29,23.2,23.2,1001.5,61.9,61.9,0,3.6,26,-7.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123849,3,2015-03-01 09:58:30,23.1,23.1,1001.5,62.4,62.4,0,2.3,34,-8.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123850,3,2015-03-01 10:03:31,23.0,23.0,1001.5,62.8,62.8,0,3.5,32,-11.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123851,3,2015-03-01 10:08:32,22.9,22.9,1001.4,63.4,63.4,0,2.6,22,-9.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123852,3,2015-03-01 10:13:33,22.8,22.8,1001.5,64.3,64.3,0,1.2,34,-13.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123853,3,2015-03-01 10:18:34,22.6,22.6,1001.4,64.6,64.6,0,4.8,34,-17.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123854,3,2015-03-01 10:23:35,22.5,22.5,1001.6,65.2,65.2,0,3.5,20,-18.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123855,3,2015-03-01 10:28:36,22.4,22.4,1001.6,65.8,65.8,0,2.2,7,-16.8,2,0,0,1,0,0,0,0,0,0,0,0,0
123856,3,2015-03-01 10:33:36,22.3,22.3,1001.7,66.4,66.4,0,2.0,80,-14.0,2,0,0,1,0,0,0,0,0,0,0,0,0
123857,3,2015-03-01 10:38:37,22.2,22.2,1001.7,67.1,67.1,0,2.4,34,-11.7,2,0,0,1,0,0,0,0,0,0,0,0,0
123858,3,2015-03-01 10:43:38,22.2,22.2,1001.5,67.6,67.6,0,1.7,360,-11.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123859,3,2015-03-01 10:48:39,22.1,22.1,1001.7,68.1,68.1,0,3.2,15,-10.1,2,0,0,1,0,0,0,0,0,0,0,0,0
123860,3,2015-03-01 10:53:40,22.1,22.1,1001.7,68.5,68.5,0,0.2,12,-10.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123861,3,2015-03-01 10:58:41,22.0,22.0,1001.7,69.1,69.1,0,1.5,16,-13.5,2,0,0,1,0,0,0,0,0,0,0,0,0
123862,3,2015-03-01 11:03:42,22.0,22.0,1001.7,69.8,69.8,0,3.2,26,-16.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123863,3,2015-03-01 11:08:43,21.9,21.9,1001.6,70.3,70.3,0,4.7,48,-17.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123864,3,2015-03-01 11:13:44,21.9,21.9,1001.7,70.7,70.7,0,1.8,13,-15.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123865,3,2015-03-01 11:18:45,21.8,21.8,1001.8,71.4,71.4,0,1.6,31,-13.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123866,3,2015-03-01 11:23:45,21.8,21.8,1001.9,72.0,72.0,0,1.0,349,-10.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123867,3,2015-03-01 11:28:46,21.7,21.7,1002.0,72.3,72.3,0,2.0,29,-8.3,2,0,0,1,0,0,0,0,0,0,0,0,0
123868,3,2015-03-01 11:33:47,21.8,21.8,1002.2,72.4,72.4,0,2.1,37,-8.9,2,0,0,1,0,0,0,0,0,0,0,0,0
123869,3,2015-03-01 11:38:49,21.9,21.9,1002.3,72.4,72.4,0,1.6,23,-14.4,2,0,0,1,0,0,0,0,0,0,0,0,0
123870,3,2015-03-01 11:43:49,21.9,21.9,1002.3,72.6,72.6,0,2.6,331,-13.6,2,0,0,1,0,0,0,0,0,0,0,0,0
123871,3,2015-03-01 11:48:49,21.9,21.9,1002.4,72.8,72.8,0,1.6,19,-7.2,2,0,0,1,0,0,0,0,0,0,0,0,0
123872,3,2015-03-01 11:53:50,21.9,21.9,1002.5,73.0,73.0,0,1.0,31,-8.7,2,0,0,1,0,0,0,0,0,0,0,0,0
